iter	Passed	Remaining
0	31	31777
1	58	29321
2	87	28957
3	114	28630
4	140	28003
5	167	27762
6	193	27499
7	241	29900
8	269	29628
9	297	29435
10	325	29237
11	352	29023
12	381	28983
13	409	28820
14	436	28688
15	465	28649
16	495	28659
17	525	28694
18	564	29152
19	590	28935
20	617	28783
21	647	28764
22	673	28623
23	701	28517
24	731	28544
25	758	28417
26	785	28317
27	813	28228
28	842	28197
29	869	28109
30	896	28015
31	923	27948
32	951	27892
33	978	27809
34	1006	27748
35	1057	28326
36	1084	28216
37	1111	28149
38	1138	28053
39	1164	27941
40	1191	27880
41	1221	27869
42	1249	27798
43	1275	27713
44	1303	27664
45	1331	27620
46	1359	27560
47	1383	27447
48	1411	27396
49	1438	27327
50	1466	27296
51	1515	27627
52	1541	27551
53	1570	27519
54	1597	27442
55	1623	27361
56	1649	27294
57	1697	27567
58	1726	27536
59	1752	27463
60	1777	27360
61	1802	27276
62	1829	27204
63	1855	27143
64	1883	27096
65	1910	27031
66	1935	26955
67	1961	26885
68	1985	26791
69	2014	26768
70	2042	26721
71	2066	26634
72	2092	26571
73	2118	26515
74	2146	26471
75	2171	26401
76	2199	26359
77	2227	26334
78	2254	26282
79	2289	26333
80	2316	26287
81	2341	26213
82	2368	26168
83	2432	26528
84	2460	26481
85	2488	26449
86	2515	26397
87	2560	26535
88	2586	26473
89	2610	26399
90	2635	26326
91	2664	26294
92	2692	26260
93	2719	26215
94	2746	26160
95	2772	26111
96	2802	26092
97	2828	26029
98	2855	25987
99	2882	25943
100	2906	25869
101	2954	26010
102	2981	25963
103	3025	26066
104	3053	26024
105	3079	25973
106	3107	25933
107	3133	25877
108	3159	25827
109	3183	25756
110	3211	25720
111	3238	25676
112	3266	25637
113	3293	25596
114	3320	25551
115	3345	25495
116	3370	25433
117	3395	25379
118	3422	25340
119	3452	25315
120	3476	25251
121	3503	25215
122	3530	25174
123	3562	25165
124	3589	25123
125	3626	25152
126	3655	25129
127	3684	25097
128	3711	25059
129	3736	25005
130	3760	24948
131	3788	24909
132	3816	24875
133	3841	24828
134	3865	24768
135	3889	24710
136	3917	24677
137	3964	24766
138	3991	24725
139	4017	24679
140	4045	24644
141	4071	24602
142	4098	24561
143	4125	24526
144	4151	24481
145	4181	24457
146	4206	24410
147	4233	24370
148	4262	24342
149	4287	24297
150	4315	24266
151	4343	24233
152	4367	24178
153	4391	24125
154	4417	24079
155	4446	24055
156	4489	24108
157	4514	24055
158	4542	24024
159	4571	24000
160	4596	23950
161	4623	23914
162	4649	23873
163	4674	23828
164	4701	23792
165	4729	23761
166	4753	23712
167	4781	23677
168	4826	23732
169	4854	23701
170	4882	23668
171	4908	23631
172	4938	23609
173	4973	23610
174	5031	23718
175	5080	23787
176	5143	23916
177	5215	24085
178	5274	24194
179	5324	24255
180	5375	24322
181	5428	24397
182	5483	24479
183	5511	24442
184	5538	24399
185	5566	24360
186	5600	24347
187	5638	24353
188	5685	24395
189	5715	24365
190	5742	24323
191	5768	24274
192	5793	24224
193	5821	24184
194	5846	24137
195	5875	24101
196	5901	24053
197	5928	24013
198	5955	23972
199	5983	23934
200	6009	23889
201	6035	23844
202	6064	23808
203	6089	23759
204	6115	23715
205	6139	23662
206	6163	23613
207	6192	23578
208	6217	23532
209	6245	23493
210	6283	23495
211	6310	23455
212	6335	23408
213	6363	23372
214	6411	23409
215	6435	23359
216	6469	23344
217	6494	23295
218	6522	23259
219	6549	23221
220	6576	23180
221	6601	23135
222	6650	23172
223	6677	23132
224	6701	23082
225	6727	23038
226	6758	23013
227	6807	23048
228	6833	23005
229	6858	22959
230	6886	22924
231	6933	22950
232	6961	22915
233	6990	22882
234	7016	22842
235	7044	22803
236	7069	22760
237	7096	22721
238	7124	22684
239	7151	22647
240	7177	22604
241	7201	22556
242	7225	22508
243	7251	22467
244	7280	22435
245	7309	22403
246	7336	22365
247	7360	22318
248	7387	22281
249	7414	22242
250	7442	22207
251	7470	22175
252	7498	22139
253	7531	22120
254	7559	22086
255	7584	22043
256	7608	21997
257	7636	21961
258	7681	21976
259	7705	21932
260	7730	21888
261	7755	21845
262	7781	21805
263	7805	21760
264	7832	21722
265	7857	21681
266	7883	21643
267	7910	21607
268	7938	21571
269	7969	21548
270	8022	21579
271	8051	21550
272	8078	21513
273	8105	21475
274	8132	21440
275	8158	21402
276	8184	21361
277	8212	21328
278	8239	21293
279	8268	21262
280	8293	21220
281	8318	21179
282	8363	21189
283	8395	21166
284	8419	21122
285	8447	21088
286	8474	21054
287	8520	21065
288	8548	21031
289	8574	20993
290	8601	20956
291	8628	20921
292	8655	20885
293	8695	20881
294	8724	20849
295	8753	20818
296	8778	20777
297	8802	20735
298	8847	20741
299	8874	20706
300	8901	20671
301	8929	20637
302	8954	20597
303	9000	20605
304	9027	20571
305	9051	20529
306	9077	20490
307	9103	20454
308	9149	20461
309	9176	20424
310	9203	20389
311	9229	20351
312	9256	20317
313	9304	20328
314	9333	20295
315	9358	20257
316	9386	20224
317	9412	20185
318	9461	20197
319	9487	20160
320	9512	20121
321	9537	20082
322	9565	20048
323	9592	20014
324	9619	19979
325	9647	19945
326	9676	19916
327	9704	19882
328	9732	19849
329	9756	19808
330	9783	19774
331	9810	19739
332	9836	19703
333	9860	19662
334	9887	19627
335	9917	19598
336	9945	19566
337	9977	19542
338	10004	19508
339	10038	19486
340	10065	19451
341	10091	19415
342	10117	19380
343	10144	19344
344	10185	19336
345	10216	19311
346	10248	19285
347	10279	19258
348	10308	19229
349	10336	19197
350	10368	19172
351	10397	19140
352	10426	19110
353	10452	19075
354	10490	19059
355	10518	19028
356	10545	18993
357	10570	18956
358	10596	18920
359	10624	18887
360	10649	18850
361	10678	18819
362	10709	18793
363	10738	18762
364	10762	18723
365	10790	18692
366	10816	18657
367	10844	18624
368	10870	18588
369	10898	18556
370	10923	18519
371	10949	18484
372	11003	18496
373	11059	18511
374	11103	18505
375	11130	18472
376	11157	18438
377	11184	18403
378	11208	18364
379	11234	18330
380	11262	18297
381	11289	18264
382	11316	18230
383	11344	18197
384	11369	18161
385	11397	18129
386	11423	18095
387	11452	18063
388	11479	18031
389	11506	17996
390	11532	17963
391	11560	17931
392	11588	17898
393	11617	17868
394	11644	17835
395	11671	17801
396	11700	17771
397	11728	17740
398	11774	17735
399	11801	17702
400	11827	17668
401	11855	17635
402	11879	17597
403	11903	17560
404	11929	17526
405	11956	17492
406	11980	17455
407	12007	17422
408	12037	17393
409	12064	17361
410	12091	17327
411	12116	17292
412	12144	17261
413	12170	17226
414	12195	17191
415	12221	17156
416	12245	17119
417	12274	17089
418	12302	17059
